areacode,clv4,clv3,clv2,clv1,clv0
2016,2.0,,,,
0760,296326.0,47623.0,16080.0,15114.0,4241.0
8697,,1.0,,,
0755,251140.0,47262.0,14084.0,27780.0,5292.0
3550,,,,1.0,
1972,1.0,,,,
8888,,1.0,,,
4565,1.0,,,,
8613,,,,,1.0
unde,,,,,1.0
3054,1.0,,,,
8641,,1.0,,,
0766,292539.0,20570.0,4160.0,6036.0,2297.0
0669,,,1.0,,
8661,,,1.0,,
4125,1.0,,,,
0759,569277.0,57089.0,14343.0,25539.0,12929.0
0660,203438.0,14001.0,3896.0,5455.0,2288.0
0753,327961.0,48428.0,15151.0,10642.0,4424.0
5644,,1.0,,,
2009,7.0,4.0,3.0,,
0799,1.0,,,,
3539,,,,,1.0
1772,,,,,1.0
020,830522.0,104826.0,26877.0,39909.0,16874.0
0763,407404.0,60403.0,7075.0,10020.0,4072.0
8631,,1.0,,,
5194,1.0,,,,
8673,,1.0,,,
0756,181708.0,18985.0,4534.0,6637.0,2615.0
0752,493099.0,81907.0,12907.0,18767.0,7318.0
0663,360183.0,43704.0,7671.0,10757.0,4271.0
1234,3.0,,,,
1890,1.0,,,,
2011,1.0,,,,1.0
0762,254720.0,29167.0,9236.0,11118.0,3032.0
8633,,,,1.0,
0750,470526.0,55894.0,9631.0,13601.0,5490.0
2008,1.0,,,,
9900,,1.0,,,
8679,,1.0,,,
8978,1.0,,,,
7673,1.0,,,,
0758,451224.0,35099.0,7246.0,9692.0,4102.0
0668,476677.0,46720.0,10983.0,20993.0,4718.0
2804,1.0,,,,
6598,1.0,,,,
0768,192238.0,19184.0,5301.0,6993.0,2609.0
8651,1.0,,,,
0754,256899.0,43720.0,15261.0,20744.0,6562.0
3569,,1.0,,,
IPTV,1.0,,,,
0999,51048.0,5978.0,1470.0,2017.0,817.0
0751,324341.0,29267.0,5505.0,10034.0,3286.0
0757,452138.0,57655.0,14263.0,21302.0,9432.0
A000,,1.0,,,
0769,467820.0,64700.0,19303.0,25146.0,6916.0
6710,,1.0,,,
8608,,,,1.0,
gzip,1.0,,,,
5748,1.0,,,,
8634,,,,,1.0
0888,391.0,106.0,20.0,31.0,9.0
8624,,,,,1.0
8754,1.0,,,,
3547,,,,1.0,
8696,,,,1.0,
1800,1.0,,,,
2010,1.0,,,,
8541,1.0,,,,
8657,,,,1.0,
0662,309104.0,32759.0,7781.0,14948.0,6896.0
8675,,,1.0,,
8643,,1.0,,,
